pagina,numero_token_originali,numero_nodi_grafo,numero_archi_grafo,gradi_dei_nodi,coefficiente_clustering_medio,lunghezza_media_cammino_minimo
1,12,12,2,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",0.0,1.0
2,21,21,6,"[0, 2, 0, 0, 0, 2, 1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0.14285714285714285,1.0
3,247,247,318,"[0, 0, 0, 0, 0, 8, 3, 3, 1, 0, 8, 4, 10, 5, 8, 0, 1, 3, 8, 0, 1, 3, 8, 1, 8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8, 1, 8, 4, 10, 5, 4, 3, 8, 5, 10, 0, 5, 8, 0, 4, 0, 0, 10, 0, 8, 0, 0, 1, 0, 0, 0, 0, 0, 7, 2, 3, 0, 7, 1, 0, 0, 4, 0, 3, 0, 5, 3, 2, 1, 8, 8, 0, 0, 3, 4, 10, 5, 1, 2, 0, 10, 8, 1, 1, 3, 0, 0, 0, 0, 1, 12, 8, 0, 0, 0, 3, 3, 7, 0, 2, 0, 0, 0, 0, 8, 3, 2, 0, 3, 8, 0, 0, 0, 3, 3, 0, 2, 2, 4, 10, 5, 1, 0, 0, 0, 8, 10, 0, 7, 8, 0, 1, 0, 2, 1, 5, 1, 0, 0, 7, 2, 8, 0, 10, 0, 0, 2, 0, 1, 0, 0, 0, 7, 3, 0, 8, 0, 5, 1, 0, 0, 7, 1, 1, 8, 0, 1, 0, 0, 0, 0, 0, 16, 0, 8, 2, 0, 8, 1, 0, 4, 0, 3, 0, 0, 3, 1, 2, 0, 1, 10, 3, 3, 0, 1, 0, 0, 0, 0, 0, 7, 2, 10, 0, 2, 0, 0, 0, 0, 2, 12, 1, 4, 0, 0, 3, 0, 4, 1, 0, 8, 0, 8, 0, 2, 0, 4, 1, 0, 0, 0, 0, 2, 0]",0.4076125628757208,2.1784615384615384
4,282,282,288,"[0, 0, 2, 0, 10, 0, 0, 3, 0, 10, 0, 5, 0, 0, 0, 0, 0, 0, 7, 1, 1, 4, 2, 2, 2, 0, 7, 1, 5, 1, 6, 1, 4, 1, 7, 1, 0, 3, 1, 0, 0, 3, 0, 1, 0, 0, 1, 4, 0, 1, 3, 10, 4, 2, 1, 0, 0, 2, 0, 2, 0, 7, 0, 4, 3, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 7, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 4, 0, 2, 0, 0, 0, 3, 0, 1, 0, 0, 0, 1, 2, 2, 0, 0, 0, 1, 10, 0, 0, 0, 3, 4, 6, 2, 3, 2, 2, 1, 6, 3, 0, 0, 1, 1, 5, 0, 2, 3, 10, 4, 6, 2, 0, 2, 0, 2, 4, 0, 3, 6, 0, 0, 3, 1, 4, 0, 1, 4, 3, 10, 4, 2, 0, 2, 0, 1, 0, 0, 1, 0, 3, 2, 0, 0, 9, 0, 10, 0, 1, 1, 0, 1, 1, 0, 3, 1, 3, 1, 3, 1, 0, 5, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 3, 10, 4, 5, 0, 0, 0, 0, 2, 0, 1, 0, 0, 5, 0, 1, 0, 5, 3, 2, 3, 1, 0, 4, 6, 5, 0, 0, 2, 2, 5, 3, 2, 5, 1, 2, 5, 1, 4, 2, 2, 0, 10, 3, 1, 7, 1, 5, 1, 6, 1, 4, 6, 2, 3, 2, 1, 7, 1, 0, 3, 1, 0, 15, 1, 1, 0, 0, 9, 0, 1, 5, 0, 5, 0, 4, 0, 10, 0, 0, 0, 0]",0.39419115163796015,2.168831168831169
5,95,95,28,"[0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 3, 0, 1, 1, 1, 0, 3, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 2, 1, 0, 3, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",0.1736842105263158,1.3
6,228,228,249,"[0, 0, 2, 0, 12, 10, 0, 0, 0, 5, 0, 12, 1, 0, 0, 0, 10, 5, 1, 2, 0, 3, 0, 6, 10, 1, 5, 1, 0, 3, 12, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 3, 5, 0, 0, 0, 2, 0, 12, 1, 0, 0, 0, 1, 0, 6, 0, 0, 0, 5, 1, 1, 1, 10, 3, 0, 0, 1, 0, 2, 0, 0, 2, 1, 1, 3, 0, 2, 0, 0, 1, 12, 0, 0, 0, 0, 0, 5, 0, 0, 1, 12, 0, 10, 1, 0, 2, 0, 0, 0, 2, 0, 3, 0, 1, 0, 0, 12, 0, 1, 0, 1, 3, 10, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 2, 2, 10, 2, 1, 0, 1, 5, 0, 0, 2, 0, 3, 2, 6, 0, 0, 0, 0, 0, 3, 5, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 2, 6, 0, 10, 12, 1, 3, 6, 10, 1, 5, 1, 4, 3, 12, 1, 1, 1, 1, 0, 1, 10, 0, 4, 5, 0, 3, 6, 0, 12, 0, 6, 0, 12, 0, 5, 0, 0, 0, 0, 3, 2, 0, 0, 5, 3, 0, 0, 12, 0, 0, 0, 2, 10, 0, 0, 0, 0]",0.3362573099415205,1.0
7,224,224,219,"[0, 0, 2, 0, 0, 0, 0, 0, 5, 1, 1, 2, 0, 1, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 2, 0, 2, 1, 1, 4, 0, 3, 2, 2, 0, 4, 0, 3, 1, 1, 7, 1, 7, 0, 0, 0, 0, 1, 0, 0, 0, 1, 10, 1, 7, 7, 7, 0, 5, 0, 3, 7, 0, 1, 1, 1, 8, 4, 0, 10, 4, 4, 7, 0, 0, 10, 2, 1, 0, 8, 4, 4, 1, 0, 8, 1, 4, 2, 3, 0, 0, 8, 1, 0, 8, 1, 0, 0, 0, 0, 0, 0, 10, 1, 8, 0, 4, 7, 1, 8, 0, 1, 10, 0, 2, 0, 0, 2, 0, 8, 0, 0, 4, 2, 5, 1, 1, 0, 10, 1, 0, 0, 5, 0, 4, 0, 0, 2, 0, 2, 1, 10, 2, 2, 0, 5, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 1, 1, 10, 2, 4, 0, 3, 0, 0, 10, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 5, 1, 10, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 4, 0, 1, 1, 1, 0, 0, 3, 4, 1, 0, 8, 0, 0, 0, 1, 0, 0, 0, 1, 0, 10, 4, 0, 0, 0]",0.34226190476190477,1.0
8,139,139,70,"[0, 0, 0, 0, 5, 3, 1, 0, 2, 3, 0, 1, 2, 0, 0, 1, 2, 3, 0, 1, 5, 1, 2, 0, 0, 2, 0, 2, 3, 0, 0, 2, 2, 1, 1, 1, 0, 0, 2, 3, 0, 1, 1, 0, 3, 3, 3, 2, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 2, 0, 3, 1, 0, 0, 0, 3, 1, 0, 0, 1, 2, 0, 1, 0, 5, 0, 1, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 4, 0, 0, 5, 0, 0, 0, 1, 1, 4, 0, 0, 3, 0, 0, 3, 1, 0, 0, 0, 5, 2, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0]",0.2697841726618705,1.0
9,262,262,422,"[14, 0, 2, 2, 2, 1, 9, 14, 9, 1, 9, 3, 8, 14, 0, 0, 0, 14, 6, 2, 8, 14, 2, 8, 0, 0, 6, 0, 1, 4, 0, 6, 0, 6, 0, 0, 0, 2, 0, 8, 0, 0, 4, 0, 0, 1, 4, 0, 0, 0, 2, 0, 8, 0, 4, 3, 4, 0, 0, 2, 0, 5, 9, 2, 2, 1, 0, 1, 2, 0, 2, 1, 8, 0, 6, 0, 0, 0, 0, 8, 0, 8, 1, 6, 0, 1, 0, 0, 0, 1, 2, 14, 0, 2, 9, 0, 4, 0, 1, 1, 9, 1, 14, 0, 3, 9, 1, 2, 0, 1, 1, 1, 2, 0, 0, 14, 0, 3, 9, 0, 2, 0, 0, 8, 0, 0, 8, 14, 9, 1, 14, 10, 1, 14, 2, 0, 2, 10, 2, 1, 9, 2, 0, 8, 0, 3, 0, 0, 1, 1, 0, 9, 3, 1, 1, 14, 3, 4, 0, 1, 9, 3, 2, 0, 1, 10, 0, 1, 9, 4, 0, 9, 4, 1, 10, 0, 0, 3, 4, 0, 6, 9, 4, 4, 4, 6, 1, 4, 1, 1, 14, 0, 0, 1, 0, 0, 4, 8, 1, 2, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 8, 1, 15, 0, 1, 0, 2, 1, 0, 9, 4, 9, 3, 9, 2, 5, 9, 2, 0, 0, 0, 4, 0, 2, 2, 2, 0, 1, 0, 0, 4, 2, 6, 6, 0, 2, 9, 0, 14, 4, 1, 5, 2, 0, 0, 0, 0, 8, 14, 0, 0, 0]",0.471889010056949,1.9707602339181287
10,245,245,305,"[0, 0, 6, 0, 9, 10, 4, 0, 4, 0, 1, 2, 0, 0, 0, 1, 3, 2, 2, 3, 10, 3, 9, 3, 7, 1, 2, 0, 9, 3, 1, 5, 1, 3, 1, 9, 3, 3, 10, 5, 0, 1, 0, 0, 0, 1, 9, 3, 0, 0, 3, 0, 0, 1, 10, 3, 0, 9, 3, 5, 0, 0, 0, 10, 0, 10, 2, 7, 0, 0, 0, 0, 9, 7, 0, 1, 0, 1, 10, 3, 2, 3, 3, 0, 0, 3, 0, 6, 0, 4, 0, 6, 4, 6, 3, 0, 0, 6, 3, 10, 0, 1, 0, 10, 3, 0, 1, 2, 1, 4, 0, 1, 0, 0, 0, 10, 1, 3, 0, 4, 0, 1, 10, 10, 0, 1, 10, 0, 3, 10, 0, 9, 0, 10, 3, 0, 10, 0, 4, 1, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 10, 2, 3, 0, 0, 1, 7, 1, 0, 4, 4, 0, 1, 1, 0, 10, 2, 3, 0, 0, 1, 1, 4, 0, 2, 1, 9, 3, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 0, 2, 9, 0, 0, 2, 0, 3, 6, 2, 1, 0, 10, 0, 1, 9, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 4, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 10, 1, 6, 4, 4, 0, 4, 0, 0, 0, 0, 0, 2, 3, 2, 0, 0, 0]",0.41828960155490763,1.0
